Top Event 61 probability: 0.085
The amount of minimal cut sets: 1200
Minimal Cut Set                Minimal Cut Set Probability    Minimal Cut Set Importance    
[38, 22, 39, 8]                2.8861E-6                      3.41438E-5                    
[38, 39, 8, 15]                2.8861E-6                      3.41438E-5                    
[21, 8, 36, 3]                 2.883E-6                       3.41072E-5                    
[38, 8, 10, 4]                 2.8714E-6                      3.39696E-5                    
[8, 37, 17, 1]                 2.8272E-6                      3.3447E-5                     
[38, 39, 8, 19]                2.8036E-6                      3.31683E-5                    
[24, 9, 36, 4]                 2.8E-6                         3.31252E-5                    
[8, 37, 20, 4]                 2.79E-6                        3.30069E-5                    
[8, 37, 16, 7]                 2.7588E-6                      3.26372E-5                    
[38, 21, 8, 3]                 2.7389E-6                      3.24018E-5                    
[27, 9, 37, 7]                 2.6895E-6                      3.18184E-5                    
[22, 9, 37, 4]                 2.688E-6                       3.18002E-5                    
[9, 37, 15, 4]                 2.688E-6                       3.18002E-5                    
[8, 37, 16, 1]                 2.6784E-6                      3.16866E-5                    
[38, 24, 9, 4]                 2.66E-6                        3.1469E-5                     
[27, 8, 36, 4]                 2.635E-6                       3.11732E-5                    
[9, 37, 19, 4]                 2.6112E-6                      3.08916E-5                    
[27, 9, 37, 1]                 2.6112E-6                      3.08916E-5                    
[25, 8, 37, 7]                 2.6055E-6                      3.08241E-5                    
[8, 37, 12, 7]                 2.6055E-6                      3.08241E-5                    
[28, 9, 36, 4]                 2.56E-6                        3.02859E-5                    
[35, 8, 37, 3]                 2.5445E-6                      3.01023E-5                    
[26, 9, 36, 3]                 2.544E-6                       3.00966E-5                    
[9, 37, 13, 3]                 2.5344E-6                      2.99831E-5                    
[9, 37, 33, 3]                 2.5344E-6                      2.99831E-5                    
[8, 37, 12, 1]                 2.5296E-6                      2.99263E-5                    
[25, 8, 37, 1]                 2.5296E-6                      2.99263E-5                    
[38, 27, 8, 4]                 2.5033E-6                      2.96145E-5                    
[21, 9, 37, 7]                 2.4522E-6                      2.90109E-5                    
[38, 28, 9, 4]                 2.432E-6                       2.87716E-5                    
[9, 37, 34, 3]                 2.4192E-6                      2.86202E-5                    
[38, 26, 9, 3]                 2.4168E-6                      2.85918E-5                    
[21, 8, 36, 4]                 2.4025E-6                      2.84226E-5                    
[39, 8, 36, 33]                2.387E-6                       2.82393E-5                    
[39, 8, 36, 13]                2.387E-6                       2.82393E-5                    
[21, 9, 37, 1]                 2.3808E-6                      2.81659E-5                    
[39, 9, 36, 11]                2.352E-6                       2.78252E-5                    
[38, 21, 8, 4]                 2.2824E-6                      2.70015E-5                    
[39, 8, 36, 34]                2.2785E-6                      2.69557E-5                    
[38, 39, 8, 13]                2.2676E-6                      2.68273E-5                    
[38, 39, 8, 33]                2.2676E-6                      2.68273E-5                    
[24, 8, 36, 7]                 2.2351E-6                      2.64422E-5                    
[38, 39, 9, 11]                2.2344E-6                      2.64339E-5                    
[9, 37, 18, 3]                 2.2118E-6                      2.6167E-5                     
[24, 8, 36, 1]                 2.17E-6                        2.56721E-5                    
[38, 39, 8, 34]                2.1646E-6                      2.56079E-5                    
[22, 8, 37, 7]                 2.1457E-6                      2.53845E-5                    
[8, 37, 15, 7]                 2.1457E-6                      2.53845E-5                    
[39, 9, 36, 17]                2.128E-6                       2.51752E-5                    
[38, 24, 8, 7]                 2.1233E-6                      2.51201E-5                    
[35, 8, 37, 4]                 2.1204E-6                      2.50853E-5                    
[26, 9, 36, 4]                 2.12E-6                        2.50805E-5                    
[9, 37, 13, 4]                 2.112E-6                       2.49859E-5                    
[9, 37, 33, 4]                 2.112E-6                       2.49859E-5                    
[8, 37, 19, 7]                 2.0844E-6                      2.46593E-5                    
[22, 8, 37, 1]                 2.0832E-6                      2.46452E-5                    
[39, 8, 36, 18]                2.0832E-6                      2.46452E-5                    
[8, 37, 15, 1]                 2.0832E-6                      2.46452E-5                    
[9, 37, 14, 3]                 2.0736E-6                      2.45316E-5                    
[38, 24, 8, 1]                 2.0615E-6                      2.43884E-5                    
[28, 8, 36, 7]                 2.0435E-6                      2.41757E-5                    
[8, 37, 19, 1]                 2.0237E-6                      2.3941E-5                     
[38, 39, 9, 17]                2.0216E-6                      2.39164E-5                    
[9, 37, 34, 4]                 2.016E-6                       2.38502E-5                    
[39, 9, 36, 16]                2.016E-6                       2.38502E-5                    
[38, 26, 9, 4]                 2.014E-6                       2.38265E-5                    
[28, 8, 36, 1]                 1.984E-6                       2.34716E-5                    
[38, 39, 8, 18]                1.979E-6                       2.34129E-5                    
[8, 36, 11, 3]                 1.953E-6                       2.31048E-5                    
[39, 8, 36, 14]                1.953E-6                       2.31048E-5                    
